T,k1,k2,k4,k6,k12
1.935000000000001164e+00,2.832030448252089161e-01,4.478690535536514195e-01,5.482397258771424253e-01,5.529073259935571860e-01,5.531772347988632710e-01
1.940000000000001057e+00,2.820653915902583964e-01,4.457036599037070279e-01,5.445692299099750278e-01,5.491454148565114712e-01,5.494134877626070113e-01
1.945000000000000950e+00,2.809311810014759603e-01,4.435445454720190472e-01,5.409362056396640472e-01,5.454274401650586190e-01,5.456936995273945490e-01
1.950000000000001066e+00,2.798004602344585368e-01,4.413919219459219168e-01,5.373403752950703938e-01,5.417525502871004539e-01,5.420170122394377676e-01
1.955000000000001181e+00,2.786732637594104278e-01,4.392459852708976986e-01,5.337814362882390418e-01,5.381199187670663298e-01,5.383826105187510258e-01
1.960000000000001075e+00,2.775496262419354099e-01,4.371069289366150135e-01,5.302590649147734814e-01,5.345287487479314370e-01,5.347896869345450943e-01
1.965000000000000968e+00,2.764295838630916324e-01,4.349749234366930839e-01,5.267729096425369795e-01,5.309782504014928239e-01,5.312374536270428882e-01
1.970000000000001084e+00,2.753131752220029926e-01,4.328501570927125730e-01,5.233226284806494766e-01,5.274676844946315502e-01,5.277251742241698684e-01
1.975000000000001199e+00,2.742004282185741548e-01,4.307327919894635149e-01,5.199078475459643078e-01,5.239963158376607089e-01,5.242521102843958891e-01
1.980000000000001092e+00,2.730913753135057465e-01,4.286229878225358281e-01,5.165281893404486402e-01,5.205634376759252779e-01,5.208175588000688583e-01
1.985000000000000986e+00,2.719860483058058054e-01,4.265209040743569435e-01,5.131832653193504346e-01,5.171683625093684844e-01,5.174208237124225951e-01
1.990000000000001101e+00,2.708844743559703505e-01,4.244266810138344059e-01,5.098726789509736568e-01,5.138104193935790764e-01,5.140612404530567892e-01
1.995000000000001217e+00,2.697866799228345047e-01,4.223404669223554397e-01,5.065960319239340981e-01,5.104889591678322125e-01,5.107381614266607306e-01
2.000000000000000888e+00,2.686926969808213217e-01,4.202623893334591632e-01,5.033529126841076451e-01,5.072033526509758250e-01,5.074509483726787895e-01
2.005000000000000782e+00,2.676025443992814390e-01,4.181925823798506303e-01,5.001429213047361433e-01,5.039529883588136361e-01,5.041989993326281283e-01
2.010000000000001119e+00,2.665162509951636283e-01,4.161311659056645684e-01,4.969656362630029411e-01,5.007372603627050500e-01,5.009817028223120250e-01
2.015000000000001457e+00,2.654338346375075264e-01,4.140782546901980443e-01,4.938206482774102901e-01,4.975555939923385629e-01,4.977984830323304299e-01
2.020000000000001350e+00,2.643553227521523996e-01,4.120339651203511200e-01,4.907075480042881188e-01,4.944074230284204452e-01,4.946487766277488651e-01
2.025000000000001243e+00,2.632807362623614256e-01,4.099983967831291598e-01,4.876259148967058143e-01,4.912921894806302481e-01,4.915320199860853667e-01
2.030000000000001137e+00,2.622100908689086185e-01,4.079716534510782200e-01,4.845753442106474074e-01,4.882093667979429119e-01,4.884476925859362884e-01
2.035000000000001030e+00,2.611434082910870091e-01,4.059538304912460038e-01,4.815554197357133082e-01,4.851584169951465020e-01,4.853952539440877789e-01
2.040000000000000924e+00,2.600807059316425085e-01,4.039450147708125161e-01,4.785657363992614766e-01,4.821388390929828294e-01,4.823742010096057631e-01
2.045000000000000817e+00,2.590220013731771020e-01,4.019452913739398059e-01,4.756058882393612297e-01,4.791501306333770249e-01,4.793840328631839842e-01
2.050000000000001155e+00,2.579673092029112769e-01,3.999547413147122032e-01,4.726754712192085539e-01,4.761918000584233757e-01,4.764242604093918976e-01
2.055000000000001492e+00,2.569166446353411959e-01,3.979734383041669266e-01,4.697740879067162090e-01,4.732633797255307306e-01,4.734944093642837748e-01
2.060000000000001386e+00,2.558700239863044845e-01,3.960014559911687604e-01,4.669013462743624165e-01,4.703644029735446486e-01,4.705940196236827466e-01
2.065000000000001279e+00,2.548274578173527760e-01,3.940388533008046257e-01,4.640568511427026199e-01,4.674944143212570458e-01,4.677226253602120853e-01
2.070000000000001172e+00,2.537889609866008089e-01,3.920857000072610621e-01,4.612402193981959830e-01,4.646529710794491952e-01,4.648797973372256753e-01
2.075000000000001066e+00,2.527545425734524231e-01,3.901420487728570752e-01,4.584510673255606794e-01,4.618396436006924066e-01,4.620650932263273281e-01
2.080000000000000959e+00,2.517242145927413022e-01,3.882079543515717379e-01,4.556890217699563483e-01,4.590540067539452540e-01,4.592780986456548309e-01
2.085000000000000853e+00,2.506979878724725497e-01,3.862834657575310859e-01,4.529537096997772738e-01,4.562956437725864678e-01,4.565183910132388778e-01
2.090000000000001190e+00,2.496758725123450484e-01,3.843686308502294313e-01,4.502447624665786852e-01,4.535641547964711084e-01,4.537855706288065893e-01
2.095000000000001528e+00,2.486578732319168483e-01,3.824634861004930775e-01,4.475618229160541750e-01,4.508591446006353087e-01,4.510792354495144485e-01
2.100000000000001421e+00,2.476440005061421867e-01,3.805680760526899964e-01,4.449045344134819890e-01,4.481802227340739853e-01,4.483990067916113764e-01
2.105000000000001315e+00,2.466342608276052839e-01,3.786824310003658600e-01,4.422725432640109422e-01,4.455270120717894078e-01,4.457445007122198821e-01
2.110000000000001208e+00,2.456286604157755238e-01,3.768065836973202298e-01,4.396655095995075091e-01,4.428991443683474860e-01,4.431153505146670502e-01
2.115000000000001101e+00,2.446272033440612115e-01,3.749405628272752811e-01,4.370830935285232588e-01,4.402962562144454584e-01,4.405111910643635387e-01
2.120000000000000995e+00,2.436298967012363592e-01,3.730843906168959112e-01,4.345249556791943579e-01,4.377179863457316689e-01,4.379316640612531675e-01
2.125000000000000888e+00,2.426367449737122373e-01,3.712380926834681349e-01,4.319907733196794442e-01,4.351639927291374721e-01,4.353764238573811229e-01
2.130000000000001226e+00,2.416477504962878664e-01,3.694016829558501858e-01,4.294802198145932781e-01,4.326339348903476822e-01,4.328451301116589267e-01
2.135000000000001563e+00,2.406629153317576542e-01,3.675751810927610497e-01,4.269929779210371867e-01,4.301274735285524065e-01,4.303374446046340784e-01
2.140000000000001457e+00,2.396822422268131692e-01,3.657585973604329799e-01,4.245287371151821310e-01,4.276442862805044376e-01,4.278530460632982146e-01
2.145000000000001350e+00,2.387057336761257142e-01,3.639519430165274461e-01,4.220871899263126115e-01,4.251840546509735863e-01,4.253916151863993411e-01
2.150000000000001243e+00,2.377333938374805167e-01,3.621552274735153620e-01,4.196680286949752703e-01,4.227464612593936910e-01,4.229528309140919706e-01
2.155000000000001137e+00,2.367652165968793521e-01,3.603684511155337833e-01,4.172709638172735769e-01,4.203312004447126160e-01,4.205363881770732282e-01
2.160000000000001030e+00,2.358012084791029084e-01,3.585916186388262705e-01,4.148956981175901393e-01,4.179379635971260942e-01,4.181419851967407286e-01
2.165000000000000924e+00,2.348413647668136095e-01,3.568247343110899084e-01,4.125419470113468878e-01,4.155664617799816885e-01,4.157693240658402178e-01
2.170000000000001261e+00,2.338856857608818951e-01,3.550677913821689291e-01,4.102094324465180297e-01,4.132164043357813843e-01,4.134181200088351549e-01
2.175000000000001599e+00,2.329341720175295005e-01,3.533207869443891203e-01,4.078978743438102517e-01,4.108875090669265040e-01,4.110880866214919882e-01
2.180000000000001492e+00,2.319868190348019499e-01,3.515837132805901821e-01,4.056070003111147959e-01,4.085794883534890620e-01,4.087789392981380776e-01
2.185000000000001386e+00,2.310436230246183942e-01,3.498565602511052863e-01,4.033365360844867742e-01,4.062920690395269152e-01,4.064904050127274293e-01
